# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2021-01-01
# NFiles = 288, max geo IngestTime = 2021-01-02 16:44:57.368588
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2021001.0325.061.2021001222432.hdf,2021-01-01 03:25,61,99271,B,-1.53649363556628,-59.7392870660067,-84.6099182205535,-102.64653571129,-65.8826342248116,-18.0368698275366,0.164651125345544,-102.870284902331,-59.7357742496671,-66.5077933674072,-84.4188219148754,-69.913053049924
MYD03.A2021001.0330.061.2021001223245.hdf,2021-01-01 03:30,61,99271,D,180,-67.2249001311467,-89.986104474529,-180,-102.412423570992,0.985452787523954,137.462259780079,-152.845212085065,-70.1744830501102,-83.7753346705968,-76.8673499237444,-66.8958513372728
MYD03.A2021001.0335.061.2021001222209.hdf,2021-01-01 03:35,61,99271,D,-153.268104077546,-54.0947460640234,-77.6024590774207,136.893071834621,-153.266165598064,135.452156141571,141.449880275569,-179.09932891309,-67.2703312262782,-77.3144693772498,-59.2625751409049,-53.8650222308572
MYD03.A2021001.0340.061.2021001221744.hdf,2021-01-01 03:40,61,99271,D,-179.71215151251,-37.9243691124152,-59.7655997015709,140.546505040544,-179.710878111413,141.029223803418,140.539694441833,168.576832290161,-54.1638884047187,-59.7538167295093,-41.5283969950966,-37.7782800819011
MYD03.A2021001.0345.061.2021001221940.hdf,2021-01-01 03:45,61,99271,D,168.052071301639,-20.7330977916434,-41.935154561179,138.382322328363,168.05559738277,140.412782234747,138.358977193463,161.357267845678,-37.9964588951677,-41.9553398876993,-23.7509944357353,-20.650141121659
MYD03.A2021001.0350.061.2021001221700.hdf,2021-01-01 03:50,61,99271,D,160.974386022337,-3.08903945389406,-24.0436717234895,135.367039919186,160.979681357867,138.346475342483,135.348953706859,156.389937822894,-20.8075486750544,-24.0656357642045,-5.98318824041374,-3.05215177226526
MYD03.A2021001.0355.061.2021001222737.hdf,2021-01-01 03:55,61,99271,D,156.15545187415,14.7757136401439,-6.14128553135518,131.360308419539,156.16183734958,135.372597359675,131.332972878386,152.619169030988,-3.16102206042674,-6.16039126584767,11.7322989232059,14.8340897710157
MYD03.A2021001.0400.061.2021001222656.hdf,2021-01-01 04:00,61,99272,D,152.56898203323,32.714359365637,11.6643211604937,125.749969481647,152.694186009112,131.375109842485,125.654008492835,149.799109528849,14.71267369295,11.6473760365849,29.2443545203449,32.8986916193
MYD03.A2021001.0405.061.2021001222721.hdf,2021-01-01 04:05,61,99272,D,149.828671465092,50.6439824585664,29.1972082367811,116.880626256241,150.142573544538,125.770201164136,116.643747460575,147.945838956138,32.6549663476856,29.1838051185638,46.117121038188,50.9437950458563
MYD03.A2021001.0410.061.2021001222711.hdf,2021-01-01 04:10,61,99272,D,148.206674130174,68.5529579311078,46.1234860331982,99.5713209681652,148.540590081321,116.923637311649,99.2005043522484,148.195230901147,50.566460209474,46.1167540044531,61.3217595061348,68.8812727926489
